doc_id,title,description,consulta_1,consulta_2
36,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,,0,0
37,"Smart Google Tv Philco 50"" Led Borderless 4k, Fast Smart, Áudio Dolby, Com Chromecast Built In - Ptv50g71agbls 4k",Televisor com tela de 50 polegadas em resolução 4K UHD. A TV também possui uma  CPU Quad Core e uma GPU Triple Core a Fast Smart TV AndroidTV responde muito mais rápido aos comandos e oferece muito mais qualidade de imagem e cores.,1,0
38,Smart TV LED 55” LG 55NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,,0,0
39,"Samsung Smart Tv 60"" Crystal Uhd 4k 60au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.",,1,0
40,Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta,,0,0
41,"Smart TV AOC Roku LED 43'' 43S5195/78 com Wi-Fi Full HD 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast,",,0,0
42,"Smart TV 50"" LG 50UN731C UHD 4K 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth","Smart TV LG 50'' 4K, UHD, Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa",0,0
43,"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast",,0,0
44,"Smart TV Philco 40"" Led Full HD 40G70N5CBLF Wi-Fi 3 HDMI 2 USB Dolby Audio","Com a  Smart TV Philco  você tem acesso aos principais App como Netflix, Prime Vídeo,  Globoplay e Youtube. Tela de 40 polegadas em resolução Full HD. A TV também possui um grande desempenho de velocidade devido ao seu processador Quad Core e qualidades gráficas acentuadas pelo processador gráfico Triple Core. Esse modelo também conta com Áudio Dolby, sistema de som Dolby Digital. Além de Midiacast que garante comunicação sem fio entre dispositivos móveis.  Imagens meramente ilustrativas. Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Certas funções necessitam de conexão com a internet. Alguns aplicativos podem requerer uma assinatura para acesso, sujeito a cobrança.",0,0
45,Smart TV LED 55” LG 55UP7550 4K UHD 55UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa,,0,0
46,"Samsung Smart Tv 65"" Uhd 4k 65au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.",,1,0
47,"Smart TV LG 50"" 4K NanoCell 50NANO75 3x HDMI 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa",,0,0
48,Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast,"Para os dias de folga, noites em família ou para curtir o silêncio da casa e colocar em dia programas e séries, a  Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast. Ela é da Nova Geração de Smart TV Philco, e nela você navega e acessa os mais diversos sites e aplicativos.  A nova loja de aplicativos é para você fazer muito mais diretamente da TV. O Navegador Browser acessa a internet de forma rápida e direta, dá mais comodidade e praticidade sem precisar de vários aparelhos. Acesso rápido a seus apps preferidos como Youtube, Globoplay e outros. O controle Remoto com botão Netflix, Globoplay, Youtube e Prime Vídeo.  Sistema de som Dolby Digital que transmite o som do filme ou vídeo reproduzido em 5.1 canais. Entradas HDMI e HDMI ARC que possibilita conexão entre arquivos e o televisor, garantido uma melhor interação. Sem falar que tudo isso sem precisar de cabos de internet, a conexão Wireless é sistema de conexão sem fio, prático para conexão entre seu televisor e a sua internet.  O processador Gráfico Triple Core com três núcleos que trabalha em conjunto com o processador do televisor, isso permite um melhor desempenho de imagens e respostas gráficas. E aliado ao processador Quad core, que é um processador com quatro núcleos de processamento, para um melhor desempenho do seu televisor, dão mais rapidez e não deixam o aparelho travar.  USB Multi Media Player para leitura/gravação de arquivos digitais, através do seu pen-drive ou HD externo. Sendo assim possível reproduzir vídeos, imagens e músicas. O Equalizador de som permite melhorar a qualidade de áudio do seu televisor através de configurações pré-ajustadas ou manualmente. O Midia Cast é o aplicativo de espelhamento entre dispositivo móvel e seu televisor, para assistir em alta definição o que mais te agrada.  Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Certas funções necessitam de conexão com a internet. Alguns aplicativos podem requerer uma assinatura para acesso, sujeito a cobrança.",0,0
49,Smart TV LED 75” LG 75UP8050 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa,,0,0
50,Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore,"Televisor com tela de 40 polegadas em resolução HD. Tecnologia Smart com aplicativos. Possuindo acesso a Netflix, Youtube, Globo Play, entre outros. Midiacast, comunicação sem fio entre dispositivos móveis.T-LINK (HDMI-CEC), recurso que permite que o televisor receba comandos automáticos de um dispositivo. HDMI ARC, elimina a necessidade da conexão de cabo de áudio adicional para envio do som do televisor para o dispositivo conectado.",1,0
51,"Smart TV LG 50"" 4K UHD 50UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa",,0,0
52,"Smart TV Android LED 32"" Semp 32S5300 Bluetooth 2 HDMI 1 USB Controle Remoto com Comando de Voz e Google Assistant",,0,0
53,"Smart TV Led 50"" Semp SK8300 4K HDR Android  Wi-Fi 3 HDMI 2 USB Controle Remoto com atalhos Chromecast Integrado","SEMP Android TV, sua primeira TV 4K com Inteligência Artificial. A sua interação com a TV evoluiu.  Fácil de navegar e com suporte a milhares de aplicativos, você pode utilizar o sistema operacional Android e desfrutar de todo o seu conteúdo. Sua conexão sem fios possibilita que dispositivos se interliguem de maneira rápida e descomplicada, bastando que um esteja próximo do outro. Com resolução 4 vezes maior que a Full HD, sua TV SEMP 4K reproduz detalhes impressionantes, tornando seus conteúdos muito mais realistas com uma experiência de visualização imersiva. Com HDR, reproduz imagens com cores mais vivas, com melhores níveis de contraste, tons claros com mais brilho e tons pretos mais escuros.  A evolução da sua SMART TV!   Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Certas funções necessitam de conexão com a internet. Alguns aplicativos podem requerer uma assinatura para acesso, sujeito a cobrança.",0,0
54,"Smart TV LG 43"" Full HD 43LM6370 Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial",,0,0
55,Smart TV LED 32” TCL S5200 HD HDR Android com Bluetooth e Google Assistant,"A  Smart TV LED 32” TCL S5200 é Sua TV é uma android tv, que usa sistema operacional mais popular do mundo.  Desfrute de músicas, filmes, games e mais - os essenciais de entretenimento vêm pré-instalados e você pode baixar mais através da google play store.  Outro diferencial, da  Smart TV LED 32” TCL S5200 é o seu controle remoto com comando de voz - obtenha sugestão de séries, filmes, informações de trânsito e tempo, além de controlar os equipamentos da casa conectada (iot), utilizando o google assistant.  Sua conexão sem fios que possibilita que dispositivos se interliguem de maneira rápida, descomplicada e sem usos de cabos, bastando que um esteja próximo do outro. Desfrute do conteúdo de notebooks e celulares diretamente na sua tv. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Certas funções necessitam de conexão com a internet. Alguns aplicativos podem requerer uma assinatura para acesso, sujeito a cobrança.",0,0
56,"Smartphone Motorola Moto G60s 128GB 4G Wi-Fi Tela 6,8'' Dual Chip 6GB RAM Câmera Quádrupla + Selfie 16MP - Azul","O  Smartphone Motorola Moto G60s chegou para surpreender os apaixonados por tecnologia.   Conta com o design atraente e perfeito para você segurar com apenas uma mão. Sua tela é LCD IPS 6.8"", ideal para assistir vídeos, jogar e acessar as suas redes sociais preferidas. Um modelo completo.  Outro ponto que chama a atenção é o seu processador Helio G95 (2,0 GHz Octa-Core), que permite que o smartphone seja ainda mais ágil e você possa aproveitar ao máximo. Conte com muito espaço para adicionar fotos, vídeos e muitos arquivos.   O apaixonados por fotos vão adorar a câmera quádrupla traseira de 64MP + 8MP + 5MP + 2MP , que contam com resolução incrível para tirar fotos tanto de dia como de noite. Já a câmera de Selfie vem com 16MP, aquela opção perfeita para fazer os vídeos para postar nas redes sociais.   Outro diferencial do Smartphone Motorola Moto G60s é a sua bateria de longa duração de 5000mAh, para que você possa passar menos tempo na tomada.   Você merece ter um smartphone com tecnologia de ponta como esse.  Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",0,0
57,"Smartphone Samsung Galaxy M22 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul",,0,0
58,Smartphone Samsung Galaxy A22 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Branco,,0,0
59,Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Azul,"O  Smartphone Samsung Galaxy A12  conta com design compacto que cabe confortavelmente na sua mão.  Mais desempenho com processador Octa-Core 2.3GHz, não perca tempo esperando o carregamento de aplicativos. Com tela Infinita de 6.5 e  sistema operacional Android 10, memória RAM de 4GB e interna 64GB, expansivo cartão microSD 1TB. Possui câmera traseira Quádrupla 48MP(Principal)+5MP(Ultra Wide)+2MP(Profundidade)+2MP(Macro) e frontal Selfie de 8MP para tirar suas fotos em alta resolução e não perder nenhum detalhe.   O Smartphone Samsung Galaxy A12 é completo com todos os recursos necessários para facilitar o seu dia a dia.  Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",0,0
60,Smartphone Motorola Moto G9 Plus 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 16MP - Azul Índigo,,0,0
61,"Smartphone Samsung Galaxy M32 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 6GB RAM Camera Quadrupla + Selfie 20MP - Branco",,0,0
